target,execution time in ns
./build/benchmark_custom__b,1547313714
./build/benchmark_custom__b,1897369760
./build/benchmark_custom__b,2166467370
./build/benchmark_custom__b,2287046164
./build/benchmark_custom__b,2471318769
./build/benchmark_custom__b,2308411296
./build/benchmark_custom__b,2364806102
./build/benchmark_custom__b,2235037742
./build/benchmark_custom__b,1866352447
./build/benchmark_custom__b,1482527130
./build/benchmark_custom__b,1855348261
./build/benchmark_custom__b,2096133943
./build/benchmark_custom__b,2246788505
./build/benchmark_custom__b,2353817630
./build/benchmark_custom__b,2397125621
./build/benchmark_custom__b,2284316442
./build/benchmark_custom__b,2315966786
./build/benchmark_custom__b,1868923685
./build/benchmark_custom__b,1553412500
./build/benchmark_custom__b,1818804159
./build/benchmark_custom__b,2058146851
./build/benchmark_custom__b,2255429512
./build/benchmark_custom__b,2330972740
./build/benchmark_custom__b,2317180374
./build/benchmark_custom__b,2237569257
./build/benchmark_custom__b,2092036237
./build/benchmark_custom__b,1821162623
./build/benchmark_custom__b,1515879954
./build/benchmark_custom__b,1829227993
./build/benchmark_custom__b,2099543973
./build/benchmark_custom__b,2307141441
./build/benchmark_custom__b,2363692236
./build/benchmark_custom__b,2370143255
./build/benchmark_custom__b,2317698779
./build/benchmark_custom__b,2089033414
./build/benchmark_custom__b,1818533116
./build/benchmark_custom__b,1462749359
./build/benchmark_custom__b took about 2.073 s on average,
./build/dlr__b,1465040809
./build/dlr__b,1834141512
./build/dlr__b,2072169952
./build/dlr__b,2124463019
./build/dlr__b,2195717110
./build/dlr__b,2220633194
./build/dlr__b,2160135576
./build/dlr__b,2013207891
./build/dlr__b,1822184454
./build/dlr__b,1515626318
./build/dlr__b,1815873174
./build/dlr__b,1992844370
./build/dlr__b,2121538113
./build/dlr__b,2221961905
./build/dlr__b,2166844910
./build/dlr__b,2161077521
./build/dlr__b,2004176807
./build/dlr__b,1819925945
./build/dlr__b,1566816915
./build/dlr__b,1793427202
./build/dlr__b,2022056519
./build/dlr__b,2129553403
./build/dlr__b,2182965007
./build/dlr__b,2188237000
./build/dlr__b,2113007797
./build/dlr__b,2009763457
./build/dlr__b,1799820292
./build/dlr__b,1585976096
./build/dlr__b,1794746557
./build/dlr__b,2011143990
./build/dlr__b,2109149654
./build/dlr__b,2202225432
./build/dlr__b,2167772896
./build/dlr__b,2141165049
./build/dlr__b,2030929479
./build/dlr__b,1811839509
./build/dlr__b,1435816697
./build/dlr__b took about 1.968 s on average,
./build/opencv_benchmark__b,1600589743
./build/opencv_benchmark__b,1960622883
./build/opencv_benchmark__b,2249143354
./build/opencv_benchmark__b,2440022074
./build/opencv_benchmark__b,2514166049
./build/opencv_benchmark__b,2514530183
./build/opencv_benchmark__b,2460734240
./build/opencv_benchmark__b,2262902430
./build/opencv_benchmark__b,1989662026
./build/opencv_benchmark__b,1634874829
./build/opencv_benchmark__b,1964215175
./build/opencv_benchmark__b,2244654855
./build/opencv_benchmark__b,2416464853
./build/opencv_benchmark__b,2529692953
./build/opencv_benchmark__b,2549423445
./build/opencv_benchmark__b,2400375930
./build/opencv_benchmark__b,2234429673
./build/opencv_benchmark__b,1964257085
./build/opencv_benchmark__b,1660535061
./build/opencv_benchmark__b,1952375474
./build/opencv_benchmark__b,2210436105
./build/opencv_benchmark__b,2417605521
./build/opencv_benchmark__b,2553274658
./build/opencv_benchmark__b,2525768433
./build/opencv_benchmark__b,2459824180
./build/opencv_benchmark__b,2260163302
./build/opencv_benchmark__b,2022494290
./build/opencv_benchmark__b,1654492016
./build/opencv_benchmark__b,1947859654
./build/opencv_benchmark__b,2255489081
./build/opencv_benchmark__b,2429163856
./build/opencv_benchmark__b,2526182867
./build/opencv_benchmark__b,2589815223
./build/opencv_benchmark__b,2475601899
./build/opencv_benchmark__b,2276887227
./build/opencv_benchmark__b,1961383237
./build/opencv_benchmark__b,1625155845
./build/opencv_benchmark__b took about 2.209 s on average,
