target,execution time in ns
./build/benchmark_custom__b,1156715563
./build/benchmark_custom__b,1363988754
./build/benchmark_custom__b,1573711753
./build/benchmark_custom__b,1770450427
./build/benchmark_custom__b,1830760862
./build/benchmark_custom__b,1823461011
./build/benchmark_custom__b,1752927998
./build/benchmark_custom__b,1593300297
./build/benchmark_custom__b,1377723547
./build/benchmark_custom__b,1084544129
./build/benchmark_custom__b,1375448089
./build/benchmark_custom__b,1584549006
./build/benchmark_custom__b,1742232835
./build/benchmark_custom__b,1855882061
./build/benchmark_custom__b,1898165467
./build/benchmark_custom__b,1753429081
./build/benchmark_custom__b,1591622529
./build/benchmark_custom__b,1365059797
./build/benchmark_custom__b,1105760434
./build/benchmark_custom__b,1357128274
./build/benchmark_custom__b,1569953976
./build/benchmark_custom__b,1781562972
./build/benchmark_custom__b,1810861364
./build/benchmark_custom__b,1874361172
./build/benchmark_custom__b,1737839262
./build/benchmark_custom__b,1580324073
./build/benchmark_custom__b,1389405508
./build/benchmark_custom__b,1095655750
./build/benchmark_custom__b,1382755584
./build/benchmark_custom__b,1604588517
./build/benchmark_custom__b,1771146181
./build/benchmark_custom__b,1830698841
./build/benchmark_custom__b,1844453714
./build/benchmark_custom__b,1719997043
./build/benchmark_custom__b,1632305986
./build/benchmark_custom__b,1357050437
./build/benchmark_custom__b,1071975061
./build/benchmark_custom__b took about 1.568 s on average,
./build/dlr__b,1048470458
./build/dlr__b,1348128192
./build/dlr__b,1496341759
./build/dlr__b,1584514776
./build/dlr__b,1653905568
./build/dlr__b,1657752999
./build/dlr__b,1595796254
./build/dlr__b,1481059479
./build/dlr__b,1306124684
./build/dlr__b,1085659498
./build/dlr__b,1295566982
./build/dlr__b,1491697885
./build/dlr__b,1589244171
./build/dlr__b,1650197950
./build/dlr__b,1626649269
./build/dlr__b,1571549508
./build/dlr__b,1458401314
./build/dlr__b,1322614127
./build/dlr__b,1112071919
./build/dlr__b,1320872363
./build/dlr__b,1487975356
./build/dlr__b,1568645802
./build/dlr__b,1655257590
./build/dlr__b,1644438022
./build/dlr__b,1576030826
./build/dlr__b,1507107312
./build/dlr__b,1330830045
./build/dlr__b,1094513584
./build/dlr__b,1328078582
./build/dlr__b,1486884804
./build/dlr__b,1608084257
./build/dlr__b,1656886492
./build/dlr__b,1635123018
./build/dlr__b,1586048023
./build/dlr__b,1483372223
./build/dlr__b,1309564080
./build/dlr__b,1053425313
./build/dlr__b took about 1.452 s on average,
./build/opencv_benchmark__b,1181927458
./build/opencv_benchmark__b,1473487632
./build/opencv_benchmark__b,1705745326
./build/opencv_benchmark__b,1833811848
./build/opencv_benchmark__b,1918860631
./build/opencv_benchmark__b,1932607572
./build/opencv_benchmark__b,1866085518
./build/opencv_benchmark__b,1667853219
./build/opencv_benchmark__b,1482079408
./build/opencv_benchmark__b,1199537845
./build/opencv_benchmark__b,1462390461
./build/opencv_benchmark__b,1669335528
./build/opencv_benchmark__b,1832117485
./build/opencv_benchmark__b,1950804216
./build/opencv_benchmark__b,1939355106
./build/opencv_benchmark__b,1856401248
./build/opencv_benchmark__b,1673247209
./build/opencv_benchmark__b,1459495242
./build/opencv_benchmark__b,1218632737
./build/opencv_benchmark__b,1479293810
./build/opencv_benchmark__b,1744039311
./build/opencv_benchmark__b,1854228511
./build/opencv_benchmark__b,1959304282
./build/opencv_benchmark__b,1959291625
./build/opencv_benchmark__b,1862813067
./build/opencv_benchmark__b,1703692983
./build/opencv_benchmark__b,1478416232
./build/opencv_benchmark__b,1208130851
./build/opencv_benchmark__b,1457570008
./build/opencv_benchmark__b,1705920308
./build/opencv_benchmark__b,1850401158
./build/opencv_benchmark__b,1954416486
./build/opencv_benchmark__b,1958935503
./build/opencv_benchmark__b,1899037927
./build/opencv_benchmark__b,1724683733
./build/opencv_benchmark__b,1486135968
./build/opencv_benchmark__b,1169433753
./build/opencv_benchmark__b took about 1.67 s on average,
