target,execution time in ns
./build/benchmark_custom__b,1175350049
./build/benchmark_custom__b,1504948213
./build/benchmark_custom__b,1640434395
./build/benchmark_custom__b,1807267402
./build/benchmark_custom__b,1885142909
./build/benchmark_custom__b,1878712948
./build/benchmark_custom__b,1828080408
./build/benchmark_custom__b,1639848316
./build/benchmark_custom__b,1434533526
./build/benchmark_custom__b,1122036056
./build/benchmark_custom__b,1411033919
./build/benchmark_custom__b,1634210058
./build/benchmark_custom__b,1884874300
./build/benchmark_custom__b,2038439846
./build/benchmark_custom__b,2090878561
./build/benchmark_custom__b,1771439146
./build/benchmark_custom__b,1747559552
./build/benchmark_custom__b,1485343077
./build/benchmark_custom__b,1182414034
./build/benchmark_custom__b,1419846020
./build/benchmark_custom__b,1679785176
./build/benchmark_custom__b,1841542374
./build/benchmark_custom__b,2035812861
./build/benchmark_custom__b,1956644786
./build/benchmark_custom__b,1848712892
./build/benchmark_custom__b,1678342720
./build/benchmark_custom__b,1501766564
./build/benchmark_custom__b,1218988551
./build/benchmark_custom__b,1464263259
./build/benchmark_custom__b,1674640013
./build/benchmark_custom__b,1854897815
./build/benchmark_custom__b,1997331753
./build/benchmark_custom__b,1936012357
./build/benchmark_custom__b,1895562187
./build/benchmark_custom__b,1715845870
./build/benchmark_custom__b,1563984735
./build/benchmark_custom__b,1139006290
./build/benchmark_custom__b took about 1.664 s on average,
./build/dlr__b,1161241744
./build/dlr__b,1556571662
./build/dlr__b,1648047745
./build/dlr__b,1786981071
./build/dlr__b,1786984751
./build/dlr__b,1820858312
./build/dlr__b,1729126415
./build/dlr__b,1628709724
./build/dlr__b,1479727319
./build/dlr__b,1177661090
./build/dlr__b,1480239355
./build/dlr__b,1594849484
./build/dlr__b,1753428786
./build/dlr__b,1744834354
./build/dlr__b,1828331768
./build/dlr__b,1722906223
./build/dlr__b,1656150993
./build/dlr__b,1422985716
./build/dlr__b,1251346045
./build/dlr__b,1481938876
./build/dlr__b,1678420773
./build/dlr__b,1754690125
./build/dlr__b,1865211835
./build/dlr__b,1796018062
./build/dlr__b,1793809471
./build/dlr__b,1596767679
./build/dlr__b,1435055574
./build/dlr__b,1224987625
./build/dlr__b,1453622834
./build/dlr__b,1625731203
./build/dlr__b,1789191497
./build/dlr__b,1830705352
./build/dlr__b,1851846723
./build/dlr__b,1754775517
./build/dlr__b,1680891749
./build/dlr__b,1452848996
./build/dlr__b,1118133190
./build/dlr__b took about 1.606 s on average,
./build/opencv_benchmark__b,1272327653
./build/opencv_benchmark__b,1684517983
./build/opencv_benchmark__b,1812052294
./build/opencv_benchmark__b,1928665588
./build/opencv_benchmark__b,2042675971
./build/opencv_benchmark__b,2064426198
./build/opencv_benchmark__b,1916215038
./build/opencv_benchmark__b,1734273569
./build/opencv_benchmark__b,1543471133
./build/opencv_benchmark__b,1293182296
./build/opencv_benchmark__b,1535261038
./build/opencv_benchmark__b,1737876278
./build/opencv_benchmark__b,1917978527
./build/opencv_benchmark__b,2046775681
./build/opencv_benchmark__b,2019650811
./build/opencv_benchmark__b,1914679157
./build/opencv_benchmark__b,1812796226
./build/opencv_benchmark__b,1537871725
./build/opencv_benchmark__b,1282364557
./build/opencv_benchmark__b,1526286205
./build/opencv_benchmark__b,1769612007
./build/opencv_benchmark__b,1996126379
./build/opencv_benchmark__b,2037460992
./build/opencv_benchmark__b,2011328615
./build/opencv_benchmark__b,1928363105
./build/opencv_benchmark__b,1745251402
./build/opencv_benchmark__b,1524843790
./build/opencv_benchmark__b,1267923663
./build/opencv_benchmark__b,1554275943
./build/opencv_benchmark__b,1783210602
./build/opencv_benchmark__b,1919201323
./build/opencv_benchmark__b,2017655165
./build/opencv_benchmark__b,2030322366
./build/opencv_benchmark__b,1906887791
./build/opencv_benchmark__b,1751988156
./build/opencv_benchmark__b,1527741566
./build/opencv_benchmark__b,1221096934
./build/opencv_benchmark__b took about 1.746 s on average,
