target,execution time in ns
./build/benchmark_custom__b,1213550434
./build/benchmark_custom__b,1430642367
./build/benchmark_custom__b,1672673550
./build/benchmark_custom__b,1805181844
./build/benchmark_custom__b,1886296093
./build/benchmark_custom__b,1913982505
./build/benchmark_custom__b,1830533773
./build/benchmark_custom__b,1651184804
./build/benchmark_custom__b,1445075274
./build/benchmark_custom__b,1161543379
./build/benchmark_custom__b,1465676903
./build/benchmark_custom__b,1630273932
./build/benchmark_custom__b,1803338578
./build/benchmark_custom__b,1928443793
./build/benchmark_custom__b,1893720592
./build/benchmark_custom__b,1808250499
./build/benchmark_custom__b,1637485512
./build/benchmark_custom__b,1447039203
./build/benchmark_custom__b,1190788938
./build/benchmark_custom__b,1443452800
./build/benchmark_custom__b,1630641769
./build/benchmark_custom__b,1787872545
./build/benchmark_custom__b,1860694205
./build/benchmark_custom__b,1892683986
./build/benchmark_custom__b,1798110036
./build/benchmark_custom__b,1686999198
./build/benchmark_custom__b,1436427241
./build/benchmark_custom__b,1153268257
./build/benchmark_custom__b,1456101963
./build/benchmark_custom__b,1675039165
./build/benchmark_custom__b,1831526077
./build/benchmark_custom__b,1910450360
./build/benchmark_custom__b,1867101981
./build/benchmark_custom__b,1804731257
./build/benchmark_custom__b,1642499305
./build/benchmark_custom__b,1419125500
./build/benchmark_custom__b,1125912681
./build/benchmark_custom__b took about 1.628 s on average,
./build/dlr__b,1121424877
./build/dlr__b,1449651328
./build/dlr__b,1619998442
./build/dlr__b,1694802850
./build/dlr__b,1760566552
./build/dlr__b,1764589256
./build/dlr__b,1714907070
./build/dlr__b,1579141745
./build/dlr__b,1439002813
./build/dlr__b,1158633768
./build/dlr__b,1430752543
./build/dlr__b,1578055770
./build/dlr__b,1744539961
./build/dlr__b,1896269748
./build/dlr__b,1924552358
./build/dlr__b,1832867675
./build/dlr__b,1614947370
./build/dlr__b,1502001768
./build/dlr__b,1248566774
./build/dlr__b,1460704042
./build/dlr__b,1678683953
./build/dlr__b,1819080946
./build/dlr__b,1804600619
./build/dlr__b,1833609583
./build/dlr__b,1776208463
./build/dlr__b,1643264257
./build/dlr__b,1495465118
./build/dlr__b,1249854955
./build/dlr__b,1493893250
./build/dlr__b,1652667479
./build/dlr__b,1813633037
./build/dlr__b,1832828852
./build/dlr__b,1780540155
./build/dlr__b,1761084715
./build/dlr__b,1611000697
./build/dlr__b,1420077393
./build/dlr__b,1117549559
./build/dlr__b took about 1.603 s on average,
./build/opencv_benchmark__b,1242411529
./build/opencv_benchmark__b,1559775548
./build/opencv_benchmark__b,1765100963
./build/opencv_benchmark__b,1934032123
./build/opencv_benchmark__b,2031833617
./build/opencv_benchmark__b,2016010843
./build/opencv_benchmark__b,1925234032
./build/opencv_benchmark__b,1752962045
./build/opencv_benchmark__b,1554113657
./build/opencv_benchmark__b,1276359372
./build/opencv_benchmark__b,1560391043
./build/opencv_benchmark__b,1760646008
./build/opencv_benchmark__b,2053052683
./build/opencv_benchmark__b,2036075494
./build/opencv_benchmark__b,2075589418
./build/opencv_benchmark__b,1910740815
./build/opencv_benchmark__b,1750530193
./build/opencv_benchmark__b,1542450085
./build/opencv_benchmark__b,1311642299
./build/opencv_benchmark__b,1532064157
./build/opencv_benchmark__b,1764788416
./build/opencv_benchmark__b,1938349587
./build/opencv_benchmark__b,2024251918
./build/opencv_benchmark__b,2016394384
./build/opencv_benchmark__b,1946793567
./build/opencv_benchmark__b,1786383247
./build/opencv_benchmark__b,1562099892
./build/opencv_benchmark__b,1293952943
./build/opencv_benchmark__b,1538493490
./build/opencv_benchmark__b,1811839365
./build/opencv_benchmark__b,1946352375
./build/opencv_benchmark__b,2029189897
./build/opencv_benchmark__b,2044659137
./build/opencv_benchmark__b,1951538349
./build/opencv_benchmark__b,1755697234
./build/opencv_benchmark__b,1530989955
./build/opencv_benchmark__b,1253950184
./build/opencv_benchmark__b took about 1.751 s on average,
