target,execution time in ns
./build/benchmark_custom__b,1167445796
./build/benchmark_custom__b,1381789626
./build/benchmark_custom__b,1619478183
./build/benchmark_custom__b,1744152838
./build/benchmark_custom__b,1859922989
./build/benchmark_custom__b,1876819185
./build/benchmark_custom__b,1794856335
./build/benchmark_custom__b,1627227952
./build/benchmark_custom__b,1429183435
./build/benchmark_custom__b,1141185624
./build/benchmark_custom__b,1406894126
./build/benchmark_custom__b,1632338443
./build/benchmark_custom__b,1835089443
./build/benchmark_custom__b,1834901993
./build/benchmark_custom__b,1839790231
./build/benchmark_custom__b,1730000873
./build/benchmark_custom__b,1592791421
./build/benchmark_custom__b,1392082122
./build/benchmark_custom__b,1144252283
./build/benchmark_custom__b,1370262551
./build/benchmark_custom__b,1593811137
./build/benchmark_custom__b,1747786095
./build/benchmark_custom__b,1830639710
./build/benchmark_custom__b,1852160129
./build/benchmark_custom__b,1762080189
./build/benchmark_custom__b,1658492192
./build/benchmark_custom__b,1445552700
./build/benchmark_custom__b,1123077469
./build/benchmark_custom__b,1424641425
./build/benchmark_custom__b,1655907185
./build/benchmark_custom__b,1819996322
./build/benchmark_custom__b,1839460871
./build/benchmark_custom__b,1877070492
./build/benchmark_custom__b,1795147625
./build/benchmark_custom__b,1609771546
./build/benchmark_custom__b,1408930795
./build/benchmark_custom__b,1082956499
./build/benchmark_custom__b took about 1.593 s on average,
./build/dlr__b,1110850524
./build/dlr__b,1363620584
./build/dlr__b,1564508822
./build/dlr__b,1629073865
./build/dlr__b,1669326797
./build/dlr__b,1711200039
./build/dlr__b,1657774891
./build/dlr__b,1548926365
./build/dlr__b,1375102753
./build/dlr__b,1125021163
./build/dlr__b,1371323144
./build/dlr__b,1536743688
./build/dlr__b,1648284917
./build/dlr__b,1721585887
./build/dlr__b,1696880804
./build/dlr__b,1593564768
./build/dlr__b,1538802028
./build/dlr__b,1368619705
./build/dlr__b,1168088006
./build/dlr__b,1358034452
./build/dlr__b,1501215532
./build/dlr__b,1652394931
./build/dlr__b,1722778458
./build/dlr__b,1696051267
./build/dlr__b,1616915661
./build/dlr__b,1577585086
./build/dlr__b,1380006515
./build/dlr__b,1148832928
./build/dlr__b,1359994683
./build/dlr__b,1546223892
./build/dlr__b,1634524673
./build/dlr__b,1684508884
./build/dlr__b,1660766603
./build/dlr__b,1629506367
./build/dlr__b,1495563953
./build/dlr__b,1369077515
./build/dlr__b,1098655077
./build/dlr__b took about 1.501 s on average,
./build/opencv_benchmark__b,1188353265
./build/opencv_benchmark__b,1509587528
./build/opencv_benchmark__b,1707313594
./build/opencv_benchmark__b,1881024629
./build/opencv_benchmark__b,1981876349
./build/opencv_benchmark__b,1969269276
./build/opencv_benchmark__b,1892433780
./build/opencv_benchmark__b,1714967332
./build/opencv_benchmark__b,1508772068
./build/opencv_benchmark__b,1239702197
./build/opencv_benchmark__b,1515482755
./build/opencv_benchmark__b,1750798530
./build/opencv_benchmark__b,1879992667
./build/opencv_benchmark__b,2009159294
./build/opencv_benchmark__b,2014329726
./build/opencv_benchmark__b,1872078123
./build/opencv_benchmark__b,1723733541
./build/opencv_benchmark__b,1500757908
./build/opencv_benchmark__b,1262466331
./build/opencv_benchmark__b,1494101390
./build/opencv_benchmark__b,1729941641
./build/opencv_benchmark__b,1876567701
./build/opencv_benchmark__b,1968946724
./build/opencv_benchmark__b,1969124741
./build/opencv_benchmark__b,1894710260
./build/opencv_benchmark__b,1762490952
./build/opencv_benchmark__b,1491760075
./build/opencv_benchmark__b,1242481028
./build/opencv_benchmark__b,1535460401
./build/opencv_benchmark__b,1727230334
./build/opencv_benchmark__b,1888006451
./build/opencv_benchmark__b,2003891926
./build/opencv_benchmark__b,1969692413
./build/opencv_benchmark__b,1904022311
./build/opencv_benchmark__b,1707197454
./build/opencv_benchmark__b,1489276750
./build/opencv_benchmark__b,1214030285
./build/opencv_benchmark__b took about 1.702 s on average,
