target,execution time in ns
./build/dlr_opencvMK2__b,2325701748
./build/dlr_opencvMK2__b,2303658779
./build/dlr_opencvMK2__b,2078405620
./build/dlr_opencvMK2__b,2361039882
./build/dlr_opencvMK2__b,2109349613
./build/dlr_opencvMK2__b,2157494129
./build/dlr_opencvMK2__b,2215458411
./build/dlr_opencvMK2__b,2083751201
./build/dlr_opencvMK2__b,2090293014
./build/dlr_opencvMK2__b,2177095203
./build/dlr_opencvMK2__b took about 2.19 s on average,
./build/dlr_opencv__b,2315485873
./build/dlr_opencv__b,2300940132
./build/dlr_opencv__b,2320276706
./build/dlr_opencv__b,2313356930
./build/dlr_opencv__b,2313503489
./build/dlr_opencv__b,2298800028
./build/dlr_opencv__b,2299624054
./build/dlr_opencv__b,2318444979
./build/dlr_opencv__b,2313365149
./build/dlr_opencv__b,2329490551
./build/dlr_opencv__b took about 2.312 s on average,
./build/opencv_benchmark__b,2541564872
./build/opencv_benchmark__b,2527853376
./build/opencv_benchmark__b,2617330707
./build/opencv_benchmark__b,2686986922
./build/opencv_benchmark__b,2771088929
./build/opencv_benchmark__b,2882741798
./build/opencv_benchmark__b,3069169371
./build/opencv_benchmark__b,2550774533
./build/opencv_benchmark__b,2605240839
./build/opencv_benchmark__b,2612569796
./build/opencv_benchmark__b took about 2.687 s on average,
