target,execution time in ns
./build/benchmark_custom__b,1183231660
./build/benchmark_custom__b,1418243468
./build/benchmark_custom__b,1636128932
./build/benchmark_custom__b,1820732033
./build/benchmark_custom__b,1889997048
./build/benchmark_custom__b,1903253687
./build/benchmark_custom__b,1805878200
./build/benchmark_custom__b,1628553726
./build/benchmark_custom__b,1420062764
./build/benchmark_custom__b,1130733973
./build/benchmark_custom__b,1405601525
./build/benchmark_custom__b,1632240961
./build/benchmark_custom__b,1797543845
./build/benchmark_custom__b,1867892415
./build/benchmark_custom__b,1832680295
./build/benchmark_custom__b,1814283731
./build/benchmark_custom__b,1604289264
./build/benchmark_custom__b,1424925651
./build/benchmark_custom__b,1156967062
./build/benchmark_custom__b,1409439121
./build/benchmark_custom__b,1642751896
./build/benchmark_custom__b,1814807309
./build/benchmark_custom__b,1900136907
./build/benchmark_custom__b,1896692081
./build/benchmark_custom__b,1808499078
./build/benchmark_custom__b,1626732437
./build/benchmark_custom__b,1397116892
./build/benchmark_custom__b,1142297488
./build/benchmark_custom__b,1410345748
./build/benchmark_custom__b,1629854687
./build/benchmark_custom__b,1802387188
./build/benchmark_custom__b,1896248368
./build/benchmark_custom__b,1900428257
./build/benchmark_custom__b,1806853523
./build/benchmark_custom__b,1662999619
./build/benchmark_custom__b,1403300571
./build/benchmark_custom__b,1084839668
./build/benchmark_custom__b took about 1.611 s on average,
./build/dlr__b,1081145864
./build/dlr__b,1403687461
./build/dlr__b,1544753347
./build/dlr__b,1657684384
./build/dlr__b,1702491330
./build/dlr__b,1682847113
./build/dlr__b,1628348770
./build/dlr__b,1527584588
./build/dlr__b,1364141359
./build/dlr__b,1133205795
./build/dlr__b,1377252150
./build/dlr__b,1543646121
./build/dlr__b,1676880696
./build/dlr__b,1686385372
./build/dlr__b,1671674593
./build/dlr__b,1614957631
./build/dlr__b,1527576984
./build/dlr__b,1409534269
./build/dlr__b,1143763527
./build/dlr__b,1375129412
./build/dlr__b,1546281402
./build/dlr__b,1672419623
./build/dlr__b,1676085532
./build/dlr__b,1677269826
./build/dlr__b,1643471842
./build/dlr__b,1507816423
./build/dlr__b,1360373648
./build/dlr__b,1142762152
./build/dlr__b,1357954875
./build/dlr__b,1511852553
./build/dlr__b,1630504778
./build/dlr__b,1690615450
./build/dlr__b,1671418759
./build/dlr__b,1630498212
./build/dlr__b,1502205776
./build/dlr__b,1352006276
./build/dlr__b,1066935747
./build/dlr__b took about 1.497 s on average,
./build/opencv_benchmark__b,1208638675
./build/opencv_benchmark__b,1490882494
./build/opencv_benchmark__b,1712419925
./build/opencv_benchmark__b,1895133705
./build/opencv_benchmark__b,1951013881
./build/opencv_benchmark__b,1972811427
./build/opencv_benchmark__b,1875773599
./build/opencv_benchmark__b,1754024744
./build/opencv_benchmark__b,1526568679
./build/opencv_benchmark__b,1247398406
./build/opencv_benchmark__b,1496616122
./build/opencv_benchmark__b,1705383603
./build/opencv_benchmark__b,1906486212
./build/opencv_benchmark__b,1998903235
./build/opencv_benchmark__b,1963753533
./build/opencv_benchmark__b,1923167500
./build/opencv_benchmark__b,1741223103
./build/opencv_benchmark__b,1513067086
./build/opencv_benchmark__b,1242468788
./build/opencv_benchmark__b,1521823830
./build/opencv_benchmark__b,1733803491
./build/opencv_benchmark__b,1881191303
./build/opencv_benchmark__b,1971291688
./build/opencv_benchmark__b,2003465918
./build/opencv_benchmark__b,1905068725
./build/opencv_benchmark__b,1743052704
./build/opencv_benchmark__b,1524201216
./build/opencv_benchmark__b,1251080109
./build/opencv_benchmark__b,1499017535
./build/opencv_benchmark__b,1740922690
./build/opencv_benchmark__b,1910141493
./build/opencv_benchmark__b,2007864104
./build/opencv_benchmark__b,2003346432
./build/opencv_benchmark__b,1939823135
./build/opencv_benchmark__b,1738698073
./build/opencv_benchmark__b,1519053512
./build/opencv_benchmark__b,1223830225
./build/opencv_benchmark__b took about 1.709 s on average,
